,name,description,KVK number,business type,Hoofdvestiging,Vestigingsnummer,Rechtspersoon,Adres,Handelsnaam
KVK-nummer: 68668368,Virtue Project,"Ontwikkeling van websites. Fotografie en productie van video. Online verkoop van kleding, tassen en accessoires.",68668368,Eenmanszaak,Hoofdvestiging,000037086502,,"Molukkenstraat 411, 1095BJ Amsterdam",Virtue ProjectFolta
KVK-nummer: 88072126,Dr. NvdH,Werken als arts binnen verschillende specialismen.,88072126,Eenmanszaak,Hoofdvestiging,000053957350,,"Molukkenstraat 415, 1095BJ Amsterdam",Dr. NvdH
KVK-nummer: 73471798,Baig Taxi,Personenvervoer. Verkopen via webshop (kleding en mode-artikelen.),73471798,Eenmanszaak,Hoofdvestiging,000041508874,,"Molukkenstraat 423, 1095BJ Amsterdam",Baig TaxiBaig DienstenMaryam-Mayram
KVK-nummer: 64982580,Mirza Taxi,Taxibedrijf,64982580,Eenmanszaak,Hoofdvestiging,000033746621,,"Molukkenstraat 423, 1095BJ Amsterdam",Mirza Taxi
KVK-nummer: 69305021,Mams Beheer B.V.,"Het al dan niet tezamen met anderen verwerven en vervreemden van deelnemingen of andere belangen - al dan niet buitenlandse - in rechtspersonen, vennootschap…Toon meer",69305021,Besloten Vennootschap,Hoofdvestiging,000037663569,,"Molukkenstraat 425, 1095BJ Amsterdam",Mams Beheer B.V.
KVK-nummer: 69335478,Mams Consultancy B.V.,"Het verlenen van voorkomende consultancy diensten ten aanzien van proces- en projectmanagement op het gebied van infrastructurele en bouwkundige projecten, als…Toon meer",69335478,Besloten Vennootschap,Hoofdvestiging,000037692917,,"Molukkenstraat 425, 1095BJ Amsterdam",Mams Consultancy B.V.
KVK-nummer: 72956267,Dokter Electro,Het verrichten van elektrotechnische werkzaamheden alsmede de verkoop van elektrotechnische artikelen.,72956267,Eenmanszaak,Hoofdvestiging,000041034058,,"Molukkenstraat 429, 1095BJ Amsterdam",Dokter Electro
KVK-nummer: 34347703,Rob van de Werdt,"Beoefening, productie en organisatie van scheppende en beeldende kunst",34347703,Eenmanszaak,Hoofdvestiging,000011110279,,"Zeeburgerpad 53, 1019AB Amsterdam",Rob van de Werdt
KVK-nummer: 85767093,Nuka Klussenbedrijf,Klussenbedrijf. Opruimen bouwplaatsen na de bouw. Vevoer per taxi.,85767093,Eenmanszaak,Hoofdvestiging,000051792362,,"Molukkenstraat 453, 1095BJ Amsterdam",Nuka Klussenbedrijf
KVK-nummer: 80880479,EL Dienstverlening,"Bezorgen van eten en drinken. Verpleging, verzorging en begeleiding met overnachting",80880479,Eenmanszaak,Hoofdvestiging,000047212683,,"Molukkenstraat 469, 1095BJ Amsterdam",EL Dienstverlening
KVK-nummer: 76327825,XAIVE,"Performance artiest, zangeres, danseres, het geven van dansworkshops, het maken van choreografie, modellenwerk en visueel artiest.",76327825,Eenmanszaak,Hoofdvestiging,000044143885,,"Molukkenstraat 481, 1095BJ Amsterdam",XAIVE
KVK-nummer: 59543264,Lighthouse Touring,Het begeleiden van artiesten bij muziekoptredens (toursupport),59543264,Eenmanszaak,Hoofdvestiging,000028832299,,"Molukkenstraat 489, 1095BJ Amsterdam",Lighthouse TouringCapital S Producties
KVK-nummer: 85303240,Annick van der Weijde,"Grafisch ontwerp, modestyling en content creation met behulp van fotografie.",85303240,Eenmanszaak,Hoofdvestiging,000051355159,,"Molukkenstraat 489, 1095BJ Amsterdam",Annick van der Weijde
KVK-nummer: 30271729,Jansen creaties,Beoefening van scheppende kunst,30271729,Eenmanszaak,Hoofdvestiging,000010180494,,"Molukkenstraat 501, 1095BJ Amsterdam",Jansen creaties
KVK-nummer: 83332650,M Music,Muzikant. Schrijver. Het verrichten van advieswerkzaamheden met betrekking tot en het begeleiden bij het tot stand brengen en het sluiten van overeenkomst…Toon meer,83332650,Eenmanszaak,Hoofdvestiging,000049505521,,"Molukkenstraat 509, 1095BJ Amsterdam",M MusicIMR consulting
KVK-nummer: 66169909,Jan Franzen,"Audio-visuele producties, componist podiumkunst, uitvoerend muzikant.",66169909,Eenmanszaak,Hoofdvestiging,000034817921,,"Molukkenstraat 525, 1095BJ Amsterdam",Jan FranzenRain Kid
KVK-nummer: 74204793,Olga Karantoni,Personal Trainer.,74204793,Eenmanszaak,Hoofdvestiging,000042181534,,"Molukkenstraat 531, 1095BJ Amsterdam",Olga Karantoni
KVK-nummer: 75926148,Siebenga Consulting,Finance specialist.,75926148,Eenmanszaak,Hoofdvestiging,000043770746,,"Molukkenstraat 541, 1095BJ Amsterdam",Siebenga ConsultingSiebenga Financial Services
KVK-nummer: 87689286,BulletSpeed Services,Horeca activiteiten,87689286,Eenmanszaak,Hoofdvestiging,000053590627,,"Sumatraplantsoen 20 D, 1095JA Amsterdam",BulletSpeed Services
KVK-nummer: 73194395,Taxi HJH,Dienstverlening in de Taxi branche.,73194395,Vennootschap Onder Firma,Hoofdvestiging,000041256123,,"Sumatraplantsoen 20 D, 1095JA Amsterdam",Taxi HJH
KVK-nummer: 92812694,Eyeluxe,Detailhandel via internet in kleur lenzen.,92812694,Eenmanszaak,Hoofdvestiging,000058393226,,"Sumatraplantsoen 20 D, 1095JA Amsterdam",Eyeluxe
KVK-nummer: 89494482,Kate's Dog School,Het geven van hondentrainingen.,89494482,Eenmanszaak,Hoofdvestiging,000055285945,,"Sumatraplantsoen 22 A, 1095JA Amsterdam",Kate's Dog School
KVK-nummer: 87231581,Abe Tempelman,"Helpen als EHBO'er, geven van vaccinaties. Horecawerkzaamheden. Bezorgdiensten.",87231581,Eenmanszaak,Hoofdvestiging,000053152948,,"Sumatraplantsoen 22 B, 1095JA Amsterdam",Abe Tempelman
KVK-nummer: 82421935,Good Life Agency,Muziek-en artiest management en het verrichten van PR / communicatie.,82421935,Vennootschap Onder Firma,Hoofdvestiging,000048655511,,"Sumatraplantsoen 24 A, 1095JB Amsterdam",Good Life Agency
KVK-nummer: 34148071,Dragan Metaal,Metaalbewerkingsbedrijf,34148071,Eenmanszaak,Hoofdvestiging,000010526196,,"Sumatraplantsoen 24 B, 1095JB Amsterdam",Dragan Metaal
KVK-nummer: 83743324,Irma obradovic,"Het verrichten van werkzaamheden op het gebied van facilitair management, onderhoud en beheer binnen vastgoed.",83743324,Eenmanszaak,Hoofdvestiging,000049896261,,"Sumatraplantsoen 30 B, 1095JB Amsterdam",Irma obradovic
KVK-nummer: 68281021,Vista Projecten,Bouwkundig teken- en bouwbegeleidingsbureau,68281021,Eenmanszaak,Hoofdvestiging,000036737232,,"Sumatraplantsoen 30 B, 1095JB Amsterdam",Vista Projecten
KVK-nummer: 34321240,O!teksten,Schrijver van literaire en journalistieke teksten,34321240,Eenmanszaak,Hoofdvestiging,000007288875,,"Sumatraplantsoen 30 C, 1095JB Amsterdam",O!teksten
KVK-nummer: 76199509,AA Theatertechniek,Theater- en podiumtechniek en werkzaamheden als stagehand.,76199509,Eenmanszaak,Hoofdvestiging,000044023359,,"Sumatraplantsoen 32 B, 1095JB Amsterdam",AA Theatertechniek
KVK-nummer: 63429837,Cerutti Media Productions,Audiovisuele producties,63429837,Eenmanszaak,Hoofdvestiging,000032347014,,"Sumatraplantsoen 34 A, 1095JB Amsterdam",Cerutti Media ProductionsCerutti Tv
KVK-nummer: 70095671,Vereniging Broodfonds 309,"Het faciliteren van een arbeidsongeschiktheidsvoorziening, in de vorm van een schenkkring voor leden van de vereniging Broodfonds 309",70095671,Vereniging,,,Rechtspersoon,"Sumatraplantsoen 34 A, 1095JB Amsterdam",Vereniging Broodfonds 309
KVK-nummer: 92925855,fl Dutch Design B.V.,"Het binnen halen van projecten voor derde partijen, uiteenlopend van lichtreclame of etalages tot op maat gemaakte LED-verlichting voor de jachtbouw en het on…Toon meer",92925855,Besloten Vennootschap,Hoofdvestiging,000058500308,,"Sumatraplantsoen 36 B, 1095JB Amsterdam",fl Dutch Design B.V.
KVK-nummer: 81515464,Melle Posthuma de Boer,"Componeren, geluidsman, nabewerking van films en het overschrijven van onbewerkte tv-programma materiaal.",81515464,Eenmanszaak,Hoofdvestiging,000047800127,,"Sumatrastraat 217 A, 1095HN Amsterdam",Melle Posthuma de Boer
KVK-nummer: 73795488,Vereniging Ouderen Sumatraplantsoen V.O.S.P.,"Organiseren van activiteiten op het gebied van gezond bewegen, kook activiteiten, naailes, voorlichting, sport voor migranten, schuldhulp en administratie.",73795488,Vereniging,,,Rechtspersoon,"Sumatrastraat 217 B, 1095HN Amsterdam",Vereniging Ouderen Sumatraplantsoen V.O.S.P.
KVK-nummer: 85400467,Origins Floors,"Afbouw; vloeren en wanden, bouwwerkzaamheden. Advies op het gebied van productontwikkeling.",85400467,Eenmanszaak,Hoofdvestiging,000051448203,,"Sumatrastraat 217 D, 1095HN Amsterdam",Origins Floors
KVK-nummer: 87957221,Fijter Works,Horecawerkzaamheden.,87957221,Eenmanszaak,Hoofdvestiging,000053844599,,"Sumatrastraat 219 E, 1095HN Amsterdam",Fijter Works
KVK-nummer: 68991746,BF Bouw,Klussenbedrijf,68991746,Eenmanszaak,Hoofdvestiging,000037384767,,"Sumatrastraat 221 A, 1095HN Amsterdam",BF Bouw
KVK-nummer: 74837397,Paramana,"IT consultancy, ontwikkelen van websites, online platforms en mobiele applicaties.",74837397,Eenmanszaak,Hoofdvestiging,000042765838,,"Sumatrastraat 221 D, 1095HN Amsterdam",Paramana
KVK-nummer: 91991536,D.A.A.F.,Video editor en cameraman.,91991536,Eenmanszaak,Hoofdvestiging,000057641226,,"Sumatrastraat 223 B, 1095HN Amsterdam",D.A.A.F.
KVK-nummer: 91417465,A. Transport en Logistiek,Chauffeursdiensten voor transport van grondstoffen.,91417465,Eenmanszaak,Hoofdvestiging,000057095396,,"Sumatrastraat 227 A, 1095HP Amsterdam",H. A. Transport en Logistiek
KVK-nummer: 83186808,JustumPretium,Advocaat en zakelijke dienstverlening.,83186808,Eenmanszaak,Hoofdvestiging,000049376241,,"Sumatrastraat 229 A, 1095HP Amsterdam",JustumPretiumIJland AdvocatuurDomos AdvocatuurDomos AdvocatenDomos AdvocatenkantoorDomos LawToon meer
KVK-nummer: 90013034,M&M AdminWorks,Administratieve hulpdiensten.,90013034,Vennootschap Onder Firma,Hoofdvestiging,000055766005,,"Sumatrastraat 229 B, 1095HP Amsterdam",M&M AdminWorks
KVK-nummer: 77919963,Washing masters,Op locatie reinigen van vervoersmiddelen. Transportwerkzaamheden. Administratieve dienstverlening vanuit huis of op locatie.,77919963,Eenmanszaak,Hoofdvestiging,000045582246,,"Sumatrastraat 229 B, 1095HP Amsterdam",Washing mastersASM TransportM&M AdminWorks
KVK-nummer: 87184052,Nilgiri Projecten,Ademcoaching. Coaching. Projectmanagement. Facilitaire en logistieke diensten.,87184052,Eenmanszaak,Hoofdvestiging,000053107578,,"Sumatrastraat 229 D, 1095HP Amsterdam",Nilgiri ProjectenJonas Dekkers Coaching
KVK-nummer: 34160574,Avantage Uitzendbureau,Uitzendbureau voor schoonmaak- en onderhoudspersoneel in de bouwsector en zelf overige gespecialiseerde werkzaamheden in de bouw.,34160574,Eenmanszaak,Hoofdvestiging,000012577030,,"Sumatrastraat 231 D, 1095HP Amsterdam",Avantage Uitzendbureau
KVK-nummer: 90378687,GOcoaching en advies,Het coachen en adviseren op het gebied van professionele en persoonlijke ontwikkeling.,90378687,Eenmanszaak,Hoofdvestiging,000056112483,,"Tidorestraat 104, 1095HK Amsterdam",GOcoaching en advies
KVK-nummer: 70036853,Stichting Sociaal Cement,"Het verstevigen van de positie van jongeren tussen de twaalf (12) en zevenentwintig (27) jaar in de samenleving, door het opzetten en uitvoeren van projecten o…Toon meer",70036853,Stichting,,,Rechtspersoon,"Tidorestraat 120, 1095HK Amsterdam",Stichting Sociaal Cement
KVK-nummer: 92071627,DFY Services,Het bezorgen van producten voor horecabedrijven; tevens taxichauffeur.,92071627,Eenmanszaak,Hoofdvestiging,000057717176,,"Tidorestraat 124, 1095HK Amsterdam",DFY Services
KVK-nummer: 87385945,Charlie Avalon,Optreden als DJ op evenementen.,87385945,Vennootschap Onder Firma,Hoofdvestiging,000053301536,,"Tidorestraat 62, 1095HM Amsterdam",Charlie Avalon
KVK-nummer: 88070107,RB tot uw dienst,Het verzorgen van ouderen in de thuissituatie en instelling.,88070107,Eenmanszaak,Hoofdvestiging,000053955358,,"Tidorestraat 64, 1095HM Amsterdam",RB tot uw dienst
KVK-nummer: 88143724,Adams Capital B.V.,Haarverzorging. Im- en export van consumentenelektronica. Koeriers- en logistiekbedrijf. I,88143724,Besloten Vennootschap,Hoofdvestiging,000054025605,,"Tidorestraat 76, 1095HM Amsterdam",Adams Capital B.V.
KVK-nummer: 74861956,Lenny's,Film & evenementen productie.,74861956,Eenmanszaak,Hoofdvestiging,000042786533,,"Tidorestraat 86, 1095HM Amsterdam",Lenny's
KVK-nummer: 83822240,Rahelina,"Het uitvoeren van opdrachten als schrijver en het vertalen van NL, ENG en DU.",83822240,Eenmanszaak,Hoofdvestiging,000049971824,,"Tidorestraat 88, 1095HM Amsterdam",Rahelina
KVK-nummer: 81446772,Stichting Dans Talenten Fonds,Verwerven en verstrekken van gelden om niet ten behoeve van studenten van de Nationale Balletacademie en activiteiten die studenten ten goede komen. Voor deze …Toon meer,81446772,Stichting,,,Rechtspersoon,"Tidorestraat 90, 1095HM Amsterdam",Stichting Dans Talenten Fonds
KVK-nummer: 80834000,Maurice-Frank,Data-science consulting services.,80834000,Eenmanszaak,Hoofdvestiging,000047168390,,"Tidorestraat 94, 1095HM Amsterdam",Maurice-FrankMorris-Frank
KVK-nummer: 77666038,Heuvelman Smedinga,Consultancy op het gebied van kunstmatige intelligentie.,77666038,Vennootschap Onder Firma,Hoofdvestiging,000045352003,,"Tidorestraat 94, 1095HM Amsterdam",Heuvelman Smedinga
KVK-nummer: 65700309,H. Sanders Studio,Artist Cultural Producer Performance Curator Event Production Print Making Illustration Editing,65700309,Eenmanszaak,Hoofdvestiging,000034400141,,"Tidorestraat 98, 1095HM Amsterdam",H. Sanders Studio
